station_code;measure_date;hyear;HS;Hs_m;HN_1D;monat;pb
7CA0;01.11.1945 07:00;1946;0;0.00;;11;168.3
7CA0;02.11.1945 07:00;1946;0;0.00;;11;168.3
7CA0;03.11.1945 07:00;1946;0;0.00;;11;168.3
7CA0;04.11.1945 07:00;1946;0;0.00;;11;168.3
7CA0;05.11.1945 07:00;1946;0;0.00;;11;168.3
7CA0;06.11.1945 07:00;1946;0;0.00;;11;168.3
7CA0;07.11.1945 07:00;1946;0;0.00;;11;168.3
7CA0;08.11.1945 07:00;1946;0;0.00;;11;168.3
7CA0;09.11.1945 07:00;1946;0;0.00;;11;168.3
7CA0;10.11.1945 07:00;1946;0;0.00;;11;168.3
7CA0;11.11.1945 07:00;1946;0;0.00;;11;168.3
7CA0;12.11.1945 07:00;1946;0;0.00;;11;168.3
7CA0;13.11.1945 07:00;1946;0;0.00;;11;168.3
7CA0;14.11.1945 07:00;1946;0;0.00;;11;168.3
7CA0;15.11.1945 07:00;1946;0;0.00;;11;168.3
7CA0;16.11.1945 07:00;1946;0;0.00;;11;168.3
7CA0;17.11.1945 07:00;1946;0;0.00;;11;168.3
7CA0;18.11.1945 07:00;1946;0;0.00;;11;168.3
7CA0;19.11.1945 07:00;1946;0;0.00;;11;168.3
7CA0;20.11.1945 07:00;1946;0;0.00;;11;168.3
7CA0;21.11.1945 07:00;1946;0;0.00;;11;168.3
7CA0;22.11.1945 07:00;1946;0;0.00;;11;168.3
7CA0;23.11.1945 07:00;1946;0;0.00;;11;168.3
7CA0;24.11.1945 07:00;1946;0;0.00;;11;168.3
7CA0;25.11.1945 07:00;1946;0;0.00;;11;168.3
7CA0;26.11.1945 07:00;1946;0;0.00;;11;168.3
7CA0;27.11.1945 07:00;1946;0;0.00;;11;168.3
7CA0;28.11.1945 07:00;1946;0;0.00;;11;168.3
7CA0;29.11.1945 07:00;1946;0;0.00;;11;168.3
7CA0;30.11.1945 07:00;1946;0;0.00;;11;168.3
7CA0;01.12.1945 07:00;1946;0;0.00;;12;175.3
7CA0;02.12.1945 07:00;1946;0;0.00;;12;175.3
7CA0;03.12.1945 07:00;1946;0;0.00;;12;175.3
7CA0;04.12.1945 07:00;1946;0;0.00;;12;175.3
7CA0;05.12.1945 07:00;1946;0;0.00;;12;175.3
7CA0;06.12.1945 07:00;1946;0;0.00;;12;175.3
7CA0;07.12.1945 07:00;1946;0;0.00;;12;175.3
7CA0;08.12.1945 07:00;1946;0;0.00;;12;175.3
