Werte_Zuers:;;monat;HS_m;h_year
02.09.1970;0;9;0;1970
03.09.1970;0;9;0;1970
04.09.1970;0;9;0;1970
05.09.1970;0;9;0;1970
06.09.1970;0;9;0;1970
07.09.1970;0;9;0;1970
08.09.1970;0;9;0;1970
09.09.1970;0;9;0;1970
10.09.1970;0;9;0;1970
11.09.1970;0;9;0;1970
12.09.1970;0;9;0;1970
13.09.1970;0;9;0;1970
14.09.1970;0;9;0;1970
15.09.1970;0;9;0;1970
16.09.1970;0;9;0;1970
17.09.1970;2;9;0.02;1970
18.09.1970;0;9;0;1970
19.09.1970;0;9;0;1970
20.09.1970;0;9;0;1970
21.09.1970;0;9;0;1970
22.09.1970;0;9;0;1970
23.09.1970;0;9;0;1970
24.09.1970;0;9;0;1970
25.09.1970;0;9;0;1970
26.09.1970;0;9;0;1970
27.09.1970;0;9;0;1970
28.09.1970;0;9;0;1970
29.09.1970;0;9;0;1970
30.09.1970;0;9;0;1970
01.10.1970;0;10;0;1971
02.10.1970;11;10;0.11;1971
03.10.1970;25;10;0.25;1971
04.10.1970;72;10;0.72;1971
05.10.1970;61;10;0.61;1971
06.10.1970;50;10;0.5;1971
07.10.1970;41;10;0.41;1971
08.10.1970;19;10;0.19;1971
09.10.1970;8;10;0.08;1971
10.10.1970;0;10;0;1971
11.10.1970;0;10;0;1971
12.10.1970;0;10;0;1971
13.10.1970;0;10;0;1971
14.10.1970;0;10;0;1971
15.10.1970;0;10;0;1971
16.10.1970;0;10;0;1971
17.10.1970;0;10;0;1971
18.10.1970;0;10;0;1971
19.10.1970;0;10;0;1971
20.10.1970;5;10;0.05;1971
21.10.1970;41;10;0.41;1971
22.10.1970;52;10;0.52;1971
23.10.1970;81;10;0.81;1971
24.10.1970;107;10;1.07;1971
25.10.1970;91;10;0.91;1971
26.10.1970;85;10;0.85;1971
27.10.1970;74;10;0.74;1971
28.10.1970;66;10;0.66;1971
29.10.1970;58;10;0.58;1971
30.10.1970;50;10;0.5;1971
31.10.1970;45;10;0.45;1971
01.11.1970;39;11;0.39;1971
02.11.1970;32;11;0.32;1971
03.11.1970;27;11;0.27;1971
04.11.1970;24;11;0.24;1971
05.11.1970;21;11;0.21;1971
06.11.1970;18;11;0.18;1971
07.11.1970;22;11;0.22;1971
08.11.1970;23;11;0.23;1971
09.11.1970;19;11;0.19;1971
10.11.1970;37;11;0.37;1971
11.11.1970;45;11;0.45;1971
12.11.1970;39;11;0.39;1971
13.11.1970;34;11;0.34;1971
14.11.1970;29;11;0.29;1971
15.11.1970;41;11;0.41;1971
16.11.1970;64;11;0.64;1971
17.11.1970;71;11;0.71;1971
18.11.1970;47;11;0.47;1971
19.11.1970;33;11;0.33;1971
20.11.1970;42;11;0.42;1971
21.11.1970;31;11;0.31;1971
22.11.1970;84;11;0.84;1971
23.11.1970;75;11;0.75;1971
24.11.1970;70;11;0.7;1971
25.11.1970;62;11;0.62;1971
26.11.1970;57;11;0.57;1971
27.11.1970;52;11;0.52;1971
28.11.1970;47;11;0.47;1971
29.11.1970;43;11;0.43;1971
30.11.1970;38;11;0.38;1971
01.12.1970;45;12;0.45;1971
02.12.1970;70;12;0.7;1971
03.12.1970;75;12;0.75;1971
04.12.1970;91;12;0.91;1971
05.12.1970;102;12;1.02;1971
06.12.1970;106;12;1.06;1971
07.12.1970;101;12;1.01;1971
08.12.1970;97;12;0.97;1971
09.12.1970;95;12;0.95;1971
10.12.1970;89;12;0.89;1971
11.12.1970;87;12;0.87;1971
12.12.1970;85;12;0.85;1971
13.12.1970;84;12;0.84;1971
14.12.1970;82;12;0.82;1971
15.12.1970;90;12;0.9;1971
16.12.1970;89;12;0.89;1971
17.12.1970;85;12;0.85;1971
18.12.1970;81;12;0.81;1971
19.12.1970;78;12;0.78;1971
20.12.1970;75;12;0.75;1971
21.12.1970;73;12;0.73;1971
