Werte_Lech:;HS_cm;monat;HS_m;h_year
02.09.1970;0;9;0;1970
03.09.1970;0;9;0;1970
04.09.1970;0;9;0;1970
05.09.1970;0;9;0;1970
06.09.1970;0;9;0;1970
07.09.1970;0;9;0;1970
08.09.1970;0;9;0;1970
09.09.1970;0;9;0;1970
10.09.1970;0;9;0;1970
11.09.1970;0;9;0;1970
12.09.1970;0;9;0;1970
13.09.1970;0;9;0;1970
14.09.1970;0;9;0;1970
15.09.1970;0;9;0;1970
16.09.1970;0;9;0;1970
17.09.1970;0;9;0;1970
18.09.1970;0;9;0;1970
19.09.1970;0;9;0;1970
20.09.1970;0;9;0;1970
21.09.1970;0;9;0;1970
22.09.1970;0;9;0;1970
23.09.1970;0;9;0;1970
24.09.1970;0;9;0;1970
25.09.1970;0;9;0;1970
26.09.1970;0;9;0;1970
27.09.1970;0;9;0;1970
28.09.1970;0;9;0;1970
29.09.1970;0;9;0;1970
30.09.1970;0;9;0;1970
01.10.1970;0;10;0;1970
02.10.1970;0;10;0;1971
03.10.1970;11;10;0.11;1971
04.10.1970;55;10;0.55;1971
05.10.1970;40;10;0.4;1971
06.10.1970;24;10;0.24;1971
07.10.1970;16;10;0.16;1971
08.10.1970;7;10;0.07;1971
09.10.1970;0;10;0;1971
10.10.1970;0;10;0;1971
11.10.1970;0;10;0;1971
12.10.1970;0;10;0;1971
13.10.1970;0;10;0;1971
14.10.1970;0;10;0;1971
15.10.1970;0;10;0;1971
16.10.1970;0;10;0;1971
17.10.1970;0;10;0;1971
18.10.1970;0;10;0;1971
19.10.1970;0;10;0;1971
20.10.1970;0;10;0;1971
21.10.1970;34;10;0.34;1971
22.10.1970;40;10;0.4;1971
23.10.1970;65;10;0.65;1971
24.10.1970;73;10;0.73;1971
25.10.1970;62;10;0.62;1971
26.10.1970;51;10;0.51;1971
27.10.1970;42;10;0.42;1971
28.10.1970;35;10;0.35;1971
29.10.1970;30;10;0.3;1971
30.10.1970;22;10;0.22;1971
31.10.1970;20;10;0.2;1971
01.11.1970;20;11;0.2;1971
02.11.1970;20;11;0.2;1971
03.11.1970;15;11;0.15;1971
04.11.1970;10;11;0.1;1971
05.11.1970;8;11;0.08;1971
06.11.1970;0;11;0;1971
07.11.1970;0;11;0;1971
08.11.1970;10;11;0.1;1971
09.11.1970;5;11;0.05;1971
10.11.1970;10;11;0.1;1971
11.11.1970;15;11;0.15;1971
12.11.1970;8;11;0.08;1971
13.11.1970;5;11;0.05;1971
14.11.1970;5;11;0.05;1971
15.11.1970;15;11;0.15;1971
16.11.1970;25;11;0.25;1971
17.11.1970;35;11;0.35;1971
18.11.1970;25;11;0.25;1971
19.11.1970;20;11;0.2;1971
20.11.1970;14;11;0.14;1971
21.11.1970;12;11;0.12;1971
22.11.1970;52;11;0.52;1971
23.11.1970;50;11;0.5;1971
24.11.1970;39;11;0.39;1971
25.11.1970;36;11;0.36;1971
26.11.1970;30;11;0.3;1971
27.11.1970;30;11;0.3;1971
28.11.1970;30;11;0.3;1971
29.11.1970;30;11;0.3;1971
30.11.1970;20;11;0.2;1971
01.12.1970;22;12;0.22;1971
02.12.1970;38;12;0.38;1971
03.12.1970;35;12;0.35;1971
04.12.1970;35;12;0.35;1971
05.12.1970;33;12;0.33;1971
06.12.1970;33;12;0.33;1971
07.12.1970;32;12;0.32;1971
08.12.1970;35;12;0.35;1971
09.12.1970;35;12;0.35;1971
10.12.1970;35;12;0.35;1971
11.12.1970;35;12;0.35;1971
12.12.1970;35;12;0.35;1971
13.12.1970;35;12;0.35;1971
14.12.1970;35;12;0.35;1971
15.12.1970;42;12;0.42;1971
16.12.1970;42;12;0.42;1971
17.12.1970;42;12;0.42;1971
18.12.1970;42;12;0.42;1971
19.12.1970;42;12;0.42;1971
20.12.1970;42;12;0.42;1971
21.12.1970;42;12;0.42;1971
