Werte_Gschnitz:;;monat;HS_m;h_year
02.09.1992;0;9;0;1992
03.09.1992;0;9;0;1992
04.09.1992;0;9;0;1992
05.09.1992;0;9;0;1992
06.09.1992;0;9;0;1992
07.09.1992;0;9;0;1992
08.09.1992;0;9;0;1992
09.09.1992;0;9;0;1992
10.09.1992;0;9;0;1992
11.09.1992;0;9;0;1992
12.09.1992;0;9;0;1992
13.09.1992;0;9;0;1992
14.09.1992;0;9;0;1992
15.09.1992;0;9;0;1992
16.09.1992;0;9;0;1992
17.09.1992;0;9;0;1992
18.09.1992;0;9;0;1992
19.09.1992;0;9;0;1992
20.09.1992;0;9;0;1992
21.09.1992;0;9;0;1992
22.09.1992;0;9;0;1992
23.09.1992;0;9;0;1992
24.09.1992;0;9;0;1992
25.09.1992;0;9;0;1992
26.09.1992;0;9;0;1992
27.09.1992;0;9;0;1992
28.09.1992;0;9;0;1992
29.09.1992;0;9;0;1992
30.09.1992;0;9;0;1992
01.10.1992;0;10;0;1993
02.10.1992;0;10;0;1993
03.10.1992;0;10;0;1993
04.10.1992;0;10;0;1993
05.10.1992;0;10;0;1993
06.10.1992;0;10;0;1993
07.10.1992;0;10;0;1993
08.10.1992;0;10;0;1993
09.10.1992;0;10;0;1993
10.10.1992;0;10;0;1993
11.10.1992;0;10;0;1993
12.10.1992;0;10;0;1993
13.10.1992;0;10;0;1993
14.10.1992;0;10;0;1993
15.10.1992;0;10;0;1993
16.10.1992;0;10;0;1993
17.10.1992;0;10;0;1993
18.10.1992;0;10;0;1993
19.10.1992;0;10;0;1993
20.10.1992;0;10;0;1993
21.10.1992;0;10;0;1993
22.10.1992;10;10;0.1;1993
23.10.1992;10;10;0.1;1993
24.10.1992;7;10;0.07;1993
25.10.1992;7;10;0.07;1993
26.10.1992;7;10;0.07;1993
27.10.1992;6;10;0.06;1993
28.10.1992;4;10;0.04;1993
29.10.1992;1;10;0.01;1993
30.10.1992;8;10;0.08;1993
31.10.1992;2;10;0.02;1993
01.11.1992;0;11;0;1993
02.11.1992;0;11;0;1993
03.11.1992;0;11;0;1993
04.11.1992;0;11;0;1993
05.11.1992;0;11;0;1993
06.11.1992;0;11;0;1993
07.11.1992;0;11;0;1993
08.11.1992;0;11;0;1993
09.11.1992;0;11;0;1993
10.11.1992;0;11;0;1993
11.11.1992;0;11;0;1993
12.11.1992;1;11;0.01;1993
13.11.1992;1;11;0.01;1993
14.11.1992;3;11;0.03;1993
15.11.1992;3;11;0.03;1993
16.11.1992;3;11;0.03;1993
17.11.1992;25;11;0.25;1993
18.11.1992;58;11;0.58;1993
19.11.1992;45;11;0.45;1993
20.11.1992;30;11;0.3;1993
21.11.1992;27;11;0.27;1993
22.11.1992;35;11;0.35;1993
23.11.1992;22;11;0.22;1993
24.11.1992;22;11;0.22;1993
25.11.1992;22;11;0.22;1993
26.11.1992;22;11;0.22;1993
