Messstelle:                ;Lech (Tannbergbrücke)
HZB-Nummer:                ;200378
HD-Nummer:                 ;
DBMS-Nummer:               ;8001037
Gewässer:                  ;Lech
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;84,39

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;1437,48
   01.01.1996              ;1437,49

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1942              ;135436,00 - 229883,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.11.1942              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.11.1942    01.01.1976;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   30.03.2005              ;2111005310-9/OWF-W/Drucksonde (direkt)-Datensammler -> DFÜ
   01.01.1976              ;2111006420-3/OWF-W/Pneumatic (analog)-digitalisiert
   10.06.2011              ;2111009300-9/OWF-W/Radarsonde-Datensammler -> DFÜ
   01.01.1951              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.07.2011              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   01.07.2011              ;2161003320-4/OWF-WT/Hleiter-Datensammler

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996              ;OWF-Q/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996    31.12.1996;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1996    31.12.1996;OWF-Q/Im Jän,Feb,Mrz,Apr,Sep,Okt nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-Q/Im Feb,Jul,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
