station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;ure200d0;pva200d0;rre150d0;rka150d0;htoautd0;htoautd0_m;schnee_man;schnee_man_m;monat;pb_man;pb_aut;h_year
ROB;01.11.1960;6;11;-0.5;76;7;9.8;;;;0;0;11;134.3;;1961
ROB;02.11.1960;6.4;10.5;3.5;88;8.5;2.5;;;;0;0;11;134.3;;1961
ROB;03.11.1960;6.3;8;2.5;92;8.8;0;;;;0;0;11;134.3;;1961
ROB;04.11.1960;5.8;7.6;3.4;87.7;8;28.9;;;;0;0;11;134.3;;1961
ROB;05.11.1960;5.1;6.8;2.5;69.7;6.2;2;;;;0;0;11;134.3;;1961
ROB;06.11.1960;0.8;9;-3.5;68;4.3;0;;;;0;0;11;134.3;;1961
ROB;07.11.1960;2.3;7;-3;51;3.7;0;;;;0;0;11;134.3;;1961
ROB;08.11.1960;1.8;6.6;-2.5;58.7;4.1;0;;;;0;0;11;134.3;;1961
ROB;09.11.1960;1;4.5;-3.5;74.3;4.8;0;;;;0;0;11;134.3;;1961
ROB;10.11.1960;0.6;7.2;-3.1;89.3;6;0;;;;0;0;11;134.3;;1961
ROB;11.11.1960;3;8.1;-3;77;5.8;27;;;;0;0;11;134.3;;1961
ROB;12.11.1960;4.7;7;0;93;7.9;7;;;;0;0;11;134.3;;1961
ROB;13.11.1960;2.2;5;0;93;7;9.2;;;;0;0;11;134.3;;1961
ROB;14.11.1960;3.1;9.5;-1.6;52;4;0;;;;0;0;11;134.3;;1961
ROB;15.11.1960;2.7;9.5;-2.2;72.7;5.3;0;;;;0;0;11;134.3;;1961
ROB;16.11.1960;2.4;9.3;-1;54.7;4.2;0;;;;0;0;11;134.3;;1961
ROB;17.11.1960;0.9;4.3;-1.5;72;4.7;0;;;;0;0;11;134.3;;1961
ROB;18.11.1960;2.2;10;-2.8;64;4.3;0;;;;0;0;11;134.3;;1961
ROB;19.11.1960;2;4.3;-1;75.3;4.9;8;;;;0;0;11;134.3;;1961
ROB;20.11.1960;0.8;8.1;-1.7;50.3;3.3;0;;;;3;0.03;11;135.41;;1961
ROB;21.11.1960;-0.1;6;-2.5;68.7;4.1;0;;;;1;0.01;11;134.67;;1961
ROB;22.11.1960;3.3;6;-2;91.3;7;11.9;;;;0;0;11;134.3;;1961
ROB;23.11.1960;4.1;8;2.5;91.7;7.6;0.3;;;;0;0;11;134.3;;1961
ROB;24.11.1960;5.6;11.5;1;49.7;4.6;0;;;;0;0;11;134.3;;1961
ROB;25.11.1960;3.7;10.5;-1.5;68.3;5.3;0;;;;0;0;11;134.3;;1961
ROB;26.11.1960;2.2;9.5;-1.5;76;5.6;0;;;;0;0;11;134.3;;1961
ROB;27.11.1960;2.7;10;-2.3;80.7;6;0;;;;0;0;11;134.3;;1961
ROB;28.11.1960;3;7.5;-1;79.3;6.1;3;;;;0;0;11;134.3;;1961
ROB;29.11.1960;4.7;7;1;28.7;2.5;0;;;;0;0;11;134.3;;1961
